,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,fsize,approx_USB_power_draw,task,dataset,environment
96,ResNet101,TPU,RasPi,,,44707176.0,44601832.0,105344.0,1.0710017817715805,0.0,12000.0,1.0,0.7213333333333334,0.8581666666666666,0.8921666666666667,0.9204166666666668,179.68035999999998,17.29667877561102,infer,imagenet,RasPi TPU
97,ResNet101V2,CPU,Desktop,,,44675560.0,44577896.0,97664.0,0.0855904723306497,0.0,12000.0,64.0,0.6765833333333333,0.8315833333333333,0.8746666666666667,0.9131666666666667,,5.30476610882691,infer,imagenet,Desktop CPU
98,ResNet101V2,CPU,Laptop,,,44675560.0,44577896.0,97664.0,0.08958344819148381,0.0,12000.0,64.0,0.6765833333333333,0.8315833333333333,0.8746666666666667,0.9131666666666667,,2.4272106333675,infer,imagenet,Laptop CPU
99,ResNet101V2,CPU,RasPi,,,44675560.0,44577896.0,97664.0,0.7894652225077152,0.0,12000.0,16.0,0.6765026455166666,0.8317142857166666,0.8747919973333333,0.9133045634833332,,8.684117447584867,infer,imagenet,RasPi CPU
100,ResNet101V2,NCS,Desktop,,,44675560.0,44577896.0,97664.0,0.0950559416115284,0.0,12000.0,1.0,0.6773333333333333,0.82925,0.8694166666666666,0.90325,,1.5764304578024384,infer,imagenet,Desktop NCS
101,ResNet101V2,NCS,Laptop,,,44675560.0,44577896.0,97664.0,0.09519012645880381,0.0,12000.0,1.0,0.6773333333333333,0.82925,0.8694166666666666,0.90325,,1.5234187436632336,infer,imagenet,Laptop NCS
102,ResNet101V2,NCS,RasPi,,,44675560.0,44577896.0,97664.0,0.09871629501382512,0.0,12000.0,1.0,0.6772994708800001,0.8293621693200001,0.86953359788,0.90335873016,,1.5794607202212019,infer,imagenet,RasPi NCS
103,ResNet101V2,TPU,Desktop,,,44675560.0,44577896.0,97664.0,0.08734755367040634,0.0,12000.0,1.0,0.668,0.80975,0.84625,0.8755,,1.4975321510394872,infer,imagenet,Desktop TPU
104,ResNet101V2,TPU,Laptop,,,44675560.0,44577896.0,97664.0,0.08830607916911443,0.0,12000.0,1.0,0.668,0.80975,0.84625,0.8755,,1.6185351841504616,infer,imagenet,Laptop TPU
105,ResNet101V2,TPU,RasPi,,,44675560.0,44577896.0,97664.0,1.0990675042072933,0.0,12000.0,1.0,0.668,0.8097499999999999,0.84625,0.8755000000000001,,17.749940192947786,infer,imagenet,RasPi TPU
106,ResNet152,CPU,Desktop,,,60419944.0,60268520.0,151424.0,0.1407887353301048,0.0,12000.0,64.0,0.7284166666666667,0.8660833333333333,0.903,0.93575,242.954816,8.364912488579265,infer,imagenet,Desktop CPU
107,ResNet152,CPU,Laptop,,,60419944.0,60268520.0,151424.0,0.14516669392585752,0.0,12000.0,64.0,0.7284166666666667,0.8660833333333333,0.903,0.93575,242.954816,3.8581995478613997,infer,imagenet,Laptop CPU
108,ResNet152,CPU,RasPi,,,60419944.0,60268520.0,151424.0,1.2761154423157375,0.0,12000.0,16.0,0.728587963,0.8662367725,0.9031911376,0.9357638889,242.954816,14.037269865473112,infer,imagenet,RasPi CPU
109,ResNet152,NCS,Desktop,,,60419944.0,60268520.0,151424.0,0.13843588241603638,0.0,12000.0,1.0,0.7276666666666666,0.8661666666666666,0.902,0.93275,242.95481600000002,2.297024654220586,infer,imagenet,Desktop NCS
110,ResNet152,NCS,Laptop,,,60419944.0,60268520.0,151424.0,0.13834776292244594,0.0,12000.0,1.0,0.7276666666666667,0.8661666666666666,0.902,0.93275,242.954816,2.147563026492116,infer,imagenet,Laptop NCS
111,ResNet152,NCS,RasPi,,,60419944.0,60268520.0,151424.0,0.1442223365108172,0.0,12000.0,1.0,0.7277612434,0.8663194444,0.9021990741,0.9327876984,242.954816,2.307557384173075,infer,imagenet,RasPi NCS
